date,treas3mo,treas2yr,treas10yr,Aaa,Baa
JAN1981,15.81904762,12.97291429,12.38390476,12.81000042,15.02999973
FEB1981,15.56222222,13.52354444,13.02792778,13.35000038,15.36999989
MAR1981,14.00772727,13.29155455,13.10229545,13.32999992,15.34000015
APR1981,14.32380952,13.87657143,13.5592,13.88000011,15.56000042
MAY1981,17.227,15.229145,13.949865,14.31999969,15.94999981
JUN1981,15.50454545,14.24780455,13.25677727,13.75,15.80000019
JUL1981,15.69181818,15.07174545,14.03656364,14.38000011,16.16999817
AUG1981,16.34857143,15.99153333,14.6813,14.89000034,16.33999634
SEP1981,15.47142857,16.22028571,15.1874381,15.48999977,16.91999817
OCT1981,14.20857143,15.35070952,14.97302857,15.39999962,17.11000061
NOV1981,11.31277778,12.83954444,13.1881,14.22000027,16.38999939
DEC1981,11.30272727,13.32066818,13.54482273,14.22999954,16.55000305
JAN1982,12.837,14.527985,14.48817,15.18000031,17.1000061
FEB1982,14.13944444,14.63003333,14.30721111,15.27000046,17.17999268
MAR1982,13.27086957,13.97507826,13.67126957,14.57999992,16.82000732
APR1982,13.29714286,14.09275238,13.60805714,14.46000004,16.77999878
MAY1982,12.6335,13.641185,13.3979,14.26000023,16.63999939
JUN1982,13.04227273,14.27719091,14.08157273,14.81000042,16.91999817
JUL1982,11.86571429,13.76865238,13.73107619,14.60999966,16.80000305
AUG1982,8.99681818,12.38102727,12.82302273,13.71000004,16.32000732
SEP1982,8.19238095,11.87787619,12.1705,12.93999958,15.63000011
OCT1982,7.97,10.425755,11.090105,12.11999989,14.72999954
NOV1982,8.34368421,9.97608947,10.72657895,11.68000031,14.30000019
DEC1982,8.20727273,9.77547273,10.74424091,11.82999992,14.14000034
JAN1983,8.12190476,9.46290952,10.67925714,11.78857099,13.93999958
FEB1983,8.39473684,9.7523,10.88991053,12.00736804,13.94999981
MAR1983,8.6673913,9.65426522,10.66168696,11.73260838,13.60999966
APR1983,8.5215,9.586115,10.557565,11.5134995,13.28999996
MAY1983,8.49952381,9.45727619,10.54002381,11.46380906,13.09000015
JUN1983,9.13818182,10.15164091,10.98435455,11.743636,13.36999989
JUL1983,9.4435,10.698355,11.52269,12.14749961,13.39000034
AUG1983,9.72434783,11.06374348,11.89640435,12.51391266,13.64000034
SEP1983,9.35333333,10.75369524,11.71914762,12.36523764,13.55000019
OCT1983,8.9195,10.49342,11.61086,12.24761854,13.46000004
NOV1983,9.10736842,10.56240526,11.70735789,12.413809,13.60999966
DEC1983,9.35333333,10.76402857,11.83248571,12.57095192,13.75
JAN1984,9.25619048,10.60555238,11.67730476,12.19999963,13.64999962
FEB1984,9.45052632,10.69883684,11.80149474,12.08349967,13.59000015
MAR1984,9.88318182,11.21681818,12.30694091,12.57363597,13.98999977
APR1984,10.0705,11.57749,12.610985,12.80849957,14.31000042
MAY1984,10.22045455,12.33758182,13.34647727,13.28272689,14.73999977
JUN1984,10.25571429,12.82640476,13.5363381,13.5490472,15.05000019
JUL1984,10.51952381,12.76578095,13.34912381,13.43523757,15.14999962
AUG1984,10.89434783,12.32831304,12.70556522,12.87347781,14.63000011
SEP1984,10.78947368,12.15736842,12.4802,12.6599996,14.35000038
OCT1984,10.11590909,11.60260909,12.10462273,12.63130395,13.93999958
NOV1984,8.91684211,10.65354737,11.57687895,12.29095241,13.47999954
DEC1984,8.3365,10.265905,11.52648,12.12949996,13.39999962
JAN1985,8.01761905,10.03817619,11.43085714,12.07863595,13.26000023
FEB1985,8.55444444,10.20953889,11.52878333,12.1268419,13.22999954
MAR1985,8.82095238,10.74201429,11.90032381,12.56142861,13.68999958
APR1985,8.21809524,10.12255714,11.50049524,12.22571423,13.51000023
MAY1985,7.72681818,9.43315909,10.94238182,11.72318181,13.14999962
JUN1985,7.1735,8.72206,10.27421,10.94200001,12.39999962
JUL1985,7.30863636,8.81038182,10.43023182,10.96545449,12.43000031
AUG1985,7.36363636,8.96729091,10.49056364,11.04909095,12.5
SEP1985,7.32736842,8.98501579,10.53255263,11.06500006,12.47999954
OCT1985,7.39181818,8.89136818,10.40304091,11.01521737,12.35999966
NOV1985,7.47210526,8.57916316,9.96178947,10.5474999,11.98999977
DEC1985,7.32666667,8.22388571,9.4742,10.1628571,11.57999992
JAN1986,7.3,8.24460476,9.38431429,10.050909,11.43636305
FEB1986,7.29052632,8.02716316,8.95011053,9.66684206,11.11263119
MAR1986,6.762,7.370865,8.02855,8.99550004,10.49499955
APR1986,6.23409091,6.89185455,7.54105909,8.78863638,10.19045409
MAY1986,6.33238095,7.26441905,8.0224381,9.08857146,10.28571388
JUN1986,6.39380952,7.39598095,8.21162381,9.13238094,10.33952341
JUL1986,5.99681818,6.84853182,7.77306818,8.87545464,10.16454506
AUG1986,5.68238095,6.4435619,7.57136667,8.7233334,10.18190434
SEP1986,5.35,6.44961905,7.86294762,8.88857133,10.20190441
OCT1986,5.31954545,6.33390455,7.80642273,8.86173912,10.23652135
NOV1986,5.49722222,6.28312222,7.60523889,8.68157889,10.06736796
DEC1986,5.68181818,6.29384545,7.42569091,8.4945455,9.97227233
JAN1987,5.577,6.26577,7.365375,8.35952364,9.72428512
FEB1987,5.75105263,6.42931579,7.46566842,8.38421064,9.65315739
MAR1987,5.76318182,6.45083182,7.42179545,8.36363624,9.60999966
APR1987,5.81142857,7.10360476,8.16235238,8.85190482,10.04333305
MAY1987,5.8355,7.794725,8.73052,9.32549996,10.51299944
JUN1987,5.845,7.57394545,8.53746364,9.32090907,10.52227233
JUL1987,5.86545455,7.38331364,8.57424091,9.41499996,10.60636317
AUG1987,6.23,7.65224286,8.83963333,9.66904767,10.80285667
SEP1987,6.60761905,8.34490476,9.48089524,10.18047619,11.30666628
OCT1987,6.33285714,8.47202381,9.5778619,10.51727286,11.61954498
NOV1987,5.87157895,7.74812105,8.94216842,10.01449995,11.22649932
DEC1987,5.94863636,7.87178316,9.10057583,10.11409101,11.28681772
JAN1988,5.99526316,7.63026167,8.82229694,9.88000007,11.06949954
FEB1988,5.836,7.17549499,8.40267215,9.396,10.61899953
MAR1988,5.86565217,7.27179282,8.55873718,9.38826097,10.57304303
